name,country,primary,secondary,geol_type,access,lat,lon,scale_note,note,confidence,source
Ghawar,沙特阿拉伯,Oil,—,构造圈闭碳酸盐岩,井采,25.50,49.50,历史可采>800亿桶,全球最大陆上油田,high,沙特阿美/BP统计
Burgan,科威特,Oil,—,砂岩构造圈闭,井采,29.50,48.00,第二大陆上油田,巨型背斜,high,KOC
Safaniya,沙特阿拉伯(波斯湾),Oil,—,海相砂岩(海上),海上井采,27.80,49.80,全球最大海上油田,浅水陆架,high,沙特阿美
Permian 盆地,美国(德州/新墨西哥),Oil,Gas,页岩+常规(二叠盆地),水平压裂+井采,31.50,-102.50,近年产量第一大盆地,致密油+常规,high,EIA
West Siberian (Samotlor等),俄罗斯,Oil,Gas,陆相三角洲砂岩,井采,61.10,76.70,西伯利亚巨型含油气省,中生代盆地,high,俄能源部
North Slope (Prudhoe),美国阿拉斯加,Oil,—,三角洲砂岩背斜,井采,69.80,-149.50,美国最大常规油田,斜坡带圈闭,high,USGS/EIA
Daqing,中国(黑龙江),Oil,—,陆相砂岩背斜,井采,46.60,124.90,中国最大油田,陆相生油理论,medium,中石油
Cantarell,墨西哥湾(坎佩切),Oil,Gas,碳酸盐岩裂缝,井采,19.80,-91.80,历史超大型(递减中),盐构造相关,medium,Pemex
Santos 盐下,巴西,Oil,—,盐下层状碳酸盐岩,海上深水井采,-25.50,-43.50,盐下巨型油田,深海盐下成藏,high,Petrobras
Kashagan,哈萨克斯坦(里海),Oil,Gas,碳酸盐岩台地,海上井采,46.30,51.50,里海巨型油田,高压含硫,medium,Eni联合体
North Dome/South Pars,卡塔尔/伊朗,Gas,Oil,碳酸盐岩-蒸发岩圈闭,海上+陆上井采,26.60,51.80,全球最大气田,巨型气藏,high,卡塔尔能源
Troll,挪威(北海),Gas,—,海相砂岩披覆圈闭,海上井采,60.90,3.70,欧洲最大气田,极浅层厚砂,high,Equinor
Bowen 盆地,澳大利亚(昆士兰),Coal,—,二叠纪煤系,露天+井下,-23.00,148.50,炼焦煤主产区,陆相含煤盆地,high,澳政府地调
Powder River,美国(怀俄明),Coal,—,古近纪煤系(次烟煤),露天,44.50,-105.50,美国最大煤产区,厚煤层,medium,EIA
山西沁水-大同煤田,中国,Coal,Gas(煤层气),石炭-二叠煤系,井下+井采,37.50,112.30,中国最大煤产区,兼采煤层气,medium,中国能源年鉴
Witbank-Mpumalanga,南非,Coal,—,卡鲁煤系,露天+井下,-25.90,29.20,南非主要动力煤,晚古生代煤系,medium,南非矿产部
