name,country,primary,secondary,geol_type,access,lat,lon,scale_note,note,confidence,source
Witwatersrand盆地,南非,Au,U,砾岩型(S型)/古砂金,地下,-26.20,28.00,历史累计>5万吨金,含铀；全球最深金矿之一(>3km),high,"USGS 矿物年鉴/行业综述"
Abitibi绿岩带,加拿大(安大略/魁北克),Au,Ag/Cu/Zn,绿岩带造山型(太古宙),露天+地下,48.50,-79.50,>6500t金,北美最大绿岩金矿集区,high,加拿大地质调查综述
Yilgarn/Kalgoorlie,澳大利亚西澳,Au,Ni,绿岩带造山型(太古宙),露天+地下,-30.70,121.50,Golden Mile 历史>1900t,超镁铁镍矿伴生,high,USGS/AIG 综述
Carlin趋势,Nevada美国,Au,Ag,卡林型(沉积岩交代),地下+露天,40.80,-116.30,累计>2000t,热液交代灰岩成矿,high,USGS MRDS/NSR综述
Muruntau,乌兹别克斯坦,Au,—,黑色页岩造山型,露天,41.50,64.60,>4000t金,世界最大露天金矿之一,high,USGS/矿业年鉴
Sukhoi Log,俄罗斯(伊尔库茨克),Au,—,黑色页岩造山型,地下,58.60,116.50,>1000t金,大型未采黑色页岩型,medium,NEDRA
Obuasi(Ashanti),加纳,Au,—,绿岩带造山型,地下,5.90,-1.65,累计>1500t,Birimian 绿岩,high,矿业公司披露
Geita/Lake Victoria,坦桑尼亚,Au,—,绿岩带造山型,露天+地下,-2.87,32.23,湖区>3000t(全区),太古宙绿岩,high,USGS
Olympiada,俄罗斯(叶尼塞岭),Au,Ag,黑色页岩造山型,露天+地下,60.50,91.50,>700t,俄罗斯重要金矿,medium,NEDRA
Hemlo,加拿大(安大略),Au,—,变质岩造山型,地下,48.20,-85.90,>600t,太古宙变质岩容矿,medium,安大略地调
Escondida,智利,Cu,Au/Ag,斑岩型(安第斯弧),露天,-24.27,-69.07,品位~0.6% 铜储量巨大,全球最大产铜矿,high,矿业公司/CRU
Chuquicamata,智利,Cu,Mo,斑岩型(安第斯弧),露天+地下,-22.31,-68.90,百年老矿,超大型斑岩,high,USGS
El Teniente,智利,Cu,Mo,斑岩型(安第斯弧),地下,-34.08,-70.35,全球最大地下铜矿,斑岩-角砾岩筒,high,CODELCO
Grasberg,印度尼西亚(巴布亚),Cu,Au,斑岩-矽卡岩型,露天+地下,-4.05,137.13,铜金超巨型,世界级Cu-Au,high,Freeport
Bingham Canyon,美国犹他,Cu,Au/Mo,斑岩型,露天,40.52,-112.15,百年超大型,斑岩-角砾岩,high,USGS
Oyu Tolgoi,蒙古,Cu,Au,斑岩型,地下,43.02,106.86,>3000万吨铜当量,绿洲斑岩带,high,Rio Tinto
Olympic Dam,澳大利亚(南澳),Cu,U; Au/Ag,铁氧化物铜金(IOCG),地下,-30.44,136.86,全球最大铀伴生/巨型铜,大型IOCG,high,BHP
中非铜带(Konkola等),刚果金/赞比亚,Cu,Co,沉积岩容矿(砂岩-页岩),地下,-12.32,27.98,铜储量亿吨级,世界Co主产区,high,USGS
Pilbara/Hamersley,澳大利亚西澳,Fe,—,条带状铁建造(BIF),露天,-22.60,118.00,数十亿吨铁矿石,世界最大铁矿石产区,high,Rio/BHP/MAC
Carajás,巴西,Fe,Cu/Mn,铁英岩/风化富集,露天,-6.06,-50.18,S11D>18亿吨级,超富铁矿+伴生,high,Vale
Quadrilátero Ferrífero,巴西(米纳斯),Fe,Au,铁英岩(BIF),露天,-20.10,-43.50,历史数百亿吨,古老BIF矿集区,high,Vale
Krivoy Rog,乌克兰,Fe,—,铁英岩(BIF),露天+地下,48.00,33.50,大型BIF,东欧最大铁矿区,medium,乌克兰地调
Labrador Trough,加拿大(魁北克/拉布拉多),Fe,—,铁英岩(BIF),露天,54.60,-66.50,大型BIF,IOC 矿山,medium,加拿大地调
Sudbury,加拿大(安大略),Ni,Cu/PGE,岩浆硫化物(撞击坑),地下,46.60,-81.20,镍+PGM 超巨型,撞击熔体成矿,high,Vale
Norilsk,俄罗斯,Ni,Cu/Co/PGE,岩浆硫化物(西伯利亚大火成岩省),地下,69.35,88.20,世界最大Ni-Cu-PGE,溢流玄武岩成矿,high,Nornickel
New Caledonia 红土镍,新喀里多尼亚,Ni,Co,红土型(风化),露天,-21.30,165.40,红土型镍钴,超基性岩风化,high,行业综述
Sorowako,印度尼西亚(苏拉威西),Ni,Co,红土型(风化),露天,-2.53,121.36,红土镍,超基性岩风化,medium,Vale
Voisey's Bay,加拿大(拉布拉多),Ni,Cu/Co,岩浆硫化物,地下,56.40,-61.90,高品位Ni,拉斑玄武质通道成矿,medium,Vale
Jinchuan,中国(甘肃),Ni,Cu/Co/PGE,岩浆硫化物,地下,38.50,102.20,中国最大镍矿,二叠纪基性-超基性,medium,中国矿业年鉴
Salar de Atacama,智利,Li,K,盐湖卤水(大陆蒸发),卤水抽取,-23.50,-68.30,卤水锂亿吨级LCE,安第斯高盐湖,high,SQM/Albemarle
