family,anchor_w,arc_w,rift_w,reason
Au,1.0,1.0,0.2,斑岩/浅成低温金在弧; 造山型金靠锚点
Cu,0.8,1.6,0.2,斑岩铜主产俯冲弧(EF地壳富集+弧岩浆窗)
Fe,1.6,0.1,0.1,"BIF 与前寒武纪克拉通锚点为主, 环境弱"
NiCo,1.2,0.3,0.8,岩浆Ni-Cu多伴大火成岩省/裂谷; 红土在热带锚点
Li,1.0,0.6,0.6,盐湖锂在安第斯弧后; 伟晶岩在增生/裂谷带
REE,1.6,0.3,0.8,碳酸岩/碱性省多与裂谷或板内有关
PGE,1.8,0.2,0.4,层状杂岩体/撞击为锚点主导
U,1.8,0.1,0.3,不整合面/砂岩铀主要靠锚点
Diamond,2.5,-1.0,0.0,"金刚石在克拉通根, 远离弧(负规则); 锚点为主"
Coal,1.6,0.0,0.4,煤在陆内/裂谷盆地(无弧)
OilGas,1.2,0.0,1.0,油气在被动陆缘/裂谷盆地; 弧区无
ZnPb,1.6,0.4,0.5,"SEDEX/MVT 在裂谷-被动陆缘盆地, VMS 在弧"
Cr,1.8,1.0,0.4,"豆荚状铬铁矿在蛇绿岩/汇聚带, 层状在杂岩锚点"
Mn,1.8,0.1,0.4,"锰多在沉积盆地/洋壳锰结核背景, 锚点为主"
W,1.5,1.2,0.2,白钨矿矽卡岩/黑钨矿脉伴弧-碰撞花岗岩
Sn,1.5,1.2,0.2,锡石多与弧/后碰撞酸性花岗岩有关
Sb,1.5,1.2,0.2,辉锑矿浅成低温多沿俯冲弧/造山带
V,1.7,0.2,0.3,"钒在沉积岩/钒钛磁铁矿, 锚点为主"
Ti,1.6,0.3,0.4,钛铁矿砂矿/层状侵入体与岩体相关
TaNb,1.6,0.5,0.7,Ta-Nb 伟晶岩/碳酸岩多沿裂谷与增生带
Ag,1.2,1.2,0.2,银浅成低温/脉状多沿火山弧
Mo,1.4,1.4,0.2,钼(斑岩 Cu-Mo/独立斑岩钼)主在弧
Re,1.8,0.8,0.2,"铼多为 Cu-Mo 副产, 跟随斑岩锚点"
Bi,1.6,0.5,0.3,铋多高温脉/矽卡岩伴花岗岩
As,1.6,0.6,0.3,砷在浅成低温/造山带硫化物脉
Be,1.7,0.4,0.3,"铍在伟晶岩/凝灰岩, 偏弧-造山"
CsRb,1.7,0.5,0.3,铯铷在 LCT 伟晶岩(常伴锂)
Sc,1.8,0.3,0.4,"钪在红土/铁氧化物, 锚点为主"
Zr,1.5,0.4,0.5,锆在砂矿/碱性杂岩
Graphite,1.7,0.3,0.4,"石墨在变质地层/伟晶岩, 锚点为主"
